ID,Employeeturnover
142055,0
44367,0
124144,0
110431,0
174576,0
78581,0
131316,0
48140,0
56161,0
132614,0
45086,0
158506,0
118700,0
87543,0
88188,0
70294,0
137044,0
76433,0
143939,0
84623,0
84510,0
54586,0
92524,0
121519,0
80611,0
102741,0
100372,0
93869,0
152784,0
67419,0
97638,0
87608,0
72904,0
149307,0
127745,0
168037,0
112450,0
135061,0
123119,0
158629,0
130679,0
166463,0
129626,0
83574,0
133689,0
148534,0
57452,0
120507,0
123895,0
97587,0
169490,0
160519,0
124336,0
159596,0
73862,0
134794,0
135904,0
50610,0
102563,0
74293,0
131101,0
74291,0
63214,0
154103,0
85071,0
65515,0
120989,0
153544,0
161400,0
51525,0
82766,0
133081,0
135561,0
70558,0
51611,0
69331,0
61513,0
97859,0
111481,0
112011,0
101689,0
56605,0
160074,0
90674,0
73310,0
108245,0
127464,0
101258,0
46799,0
63619,0
106858,0
159941,0
129821,0
139277,0
61840,0
122170,0
111058,0
104112,0
133690,0
54502,0
146306,0
172687,0
176122,0
165107,0
109708,0
105257,0
177448,0
139836,0
130081,0
62823,0
72655,0
79873,0
152189,0
170059,0
119258,0
132825,0
81372,0
85292,0
67841,0
61264,0
161947,0
162395,0
170122,0
77997,0
158585,0
100884,0
110005,0
137537,0
128322,0
112659,0
68813,0
147082,0
150671,0
122926,0
130741,0
128838,0
67569,0
51366,0
85520,0
108279,0
108017,0
182336,0
53741,0
67671,0
181412,0
78869,0
136168,0
134959,0
59739,0
105933,0
135524,0
160686,0
47481,0
92567,0
115391,0
129092,0
176860,0
121686,0
123736,0
111340,0
173816,0
105282,0
76169,0
86899,0
133755,0
100303,0
152466,0
67096,0
85458,0
118140,0
113545,0
123380,0
98086,0
64719,0
114202,0
100435,0
143722,0
169148,0
100343,0
95467,0
96468,0
70892,0
118614,0
82401,0
165515,0
85252,0
79579,0
129523,0
82414,0
59374,0
93638,0
73632,0
181401,0
89234,0
167497,0
108921,0
101235,0
109707,0
96663,0
78794,0
107013,0
168546,0
144011,0
46096,0
119998,0
82829,0
171288,0
125960,0
